,,,,,,Sc,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Y,Ho,Er,Tm,Yb,Lu,,Total REE,Critical,Uncritical,Excessive,PctCrit
93636,R,2,BH,1,7:3 IL-PRB,26.18,49.99,100.99,11.11,41.41,8.43,2.05,8.42,1.33,8.02,46.69,1.67,4.88,0.72,4.55,0.68,,317,104,78,109,35.9
93637,R,2,BH,1,7:3 IL-PRB,26.96,48.19,99.63,10.84,40.60,8.16,2.03,8.21,1.30,8.07,46.22,1.67,4.97,0.71,4.61,0.70,,313,103,75,107,36.1
93638,R,2,BH,1,7:3 IL-PRB,25.94,49.27,98.86,10.91,40.81,8.22,2.02,8.35,1.31,7.96,45.89,1.65,4.80,0.71,4.48,0.69,,312,103,77,106,36.0
93639,R,2,BH,1,7:3 IL-PRB,24.94,46.73,99.00,10.89,40.72,8.24,2.07,8.26,1.31,7.99,45.98,1.65,4.87,0.71,4.55,0.68,,309,103,74,107,36.3
93640,R,2,BH,2,7:3 IL-PRB,26.37,50.53,101.82,11.23,42.01,8.38,2.05,8.25,1.29,7.85,46.38,1.63,4.85,0.71,4.46,0.68,,319,104,78,109,35.8
93641,R,2,BH,2,7:3 IL-PRB,26.73,49.42,100.99,10.95,41.09,8.30,2.05,8.26,1.30,8.06,46.85,1.67,4.92,0.73,4.56,0.69,,317,104,77,109,36.0
93642,R,2,BH,2,7:3 IL-PRB,26.96,47.00,95.56,10.50,39.41,7.87,1.98,7.89,1.24,7.63,44.89,1.58,4.68,0.68,4.35,0.65,,303,100,73,103,36.2
93643,R,2,BH,2,7:3 IL-PRB,27.25,52.91,106.84,11.76,43.95,8.79,2.18,8.78,1.38,8.52,48.89,1.76,5.16,0.76,4.81,0.74,,334,110,82,115,35.8
93644,R,2,BH,3,7:3 IL-PRB,27.23,50.56,102.48,11.23,41.98,8.48,2.11,8.48,1.29,7.90,46.10,1.64,4.83,0.70,4.39,0.67,,320,104,79,110,35.6
93645,R,2,BH,3,7:3 IL-PRB,28.18,54.84,110.45,12.05,45.32,9.03,2.28,9.00,1.41,8.68,51.20,1.79,5.23,0.77,4.91,0.74,,346,114,85,119,35.9
93646,R,2,BH,3,7:3 IL-PRB,27.85,50.67,102.57,11.31,41.51,8.40,2.17,8.39,1.34,8.26,47.79,1.71,4.99,0.75,4.66,0.70,,323,106,79,110,35.9
93647,R,2,BH,3,7:3 IL-PRB,27.32,49.96,100.53,11.01,41.22,8.30,2.08,8.29,1.31,8.06,46.93,1.68,4.92,0.72,4.63,0.70,,318,105,78,108,36.0
93674,M,4,ESP,1,IL,31.72,56.36,113.41,13.04,53.24,11.73,2.61,12.48,1.79,9.92,59.58,2.03,5.59,0.81,5.16,0.78,,380,133,94,122,38.1
93675,M,4,ESP,2,IL,35.00,64.09,129.56,14.87,59.60,12.48,2.76,12.74,1.85,10.75,66.14,2.20,6.24,0.90,5.69,0.88,,426,147,104,139,37.7
93676,M,4,ESP,3,IL,27.49,51.89,104.57,11.74,45.98,9.16,2.02,8.94,1.30,7.60,46.08,1.57,4.50,0.65,4.23,0.65,,328,107,82,112,35.7
93796,H,3,ESP,2,IL,34.44,64.83,137.79,16.52,69.35,15.44,3.28,15.63,2.30,13.19,78.22,2.70,7.59,1.08,6.75,1.02,,470,174,112,149,39.9
93800-1,H,3,ESP,3,IL,34.27,59.65,126.54,15.05,63.59,14.34,3.06,14.53,2.14,12.19,74.14,2.49,6.95,0.97,6.13,0.93,,437,162,104,137,40.2
93800-2,H,3,ESP,3,IL,33.70,59.20,125.79,14.99,62.97,14.26,3.03,14.60,2.12,12.29,72.53,2.47,6.91,0.99,6.07,0.91,,433,160,103,136,40.0
93800-3,H,3,ESP,3,IL,34.16,61.17,128.43,15.28,65.35,14.61,3.13,15.00,2.20,12.74,75.17,2.57,7.15,1.02,6.37,0.96,,445,166,106,139,40.3
93800 Avg.,H,3,ESP,3,IL,34.04,60.01,126.92,15.11,63.97,14.40,3.07,14.71,2.16,12.40,73.95,2.51,7.00,0.99,6.19,0.93,,438,163,104,138,40.2
93800 Std. Dev.,H,3,ESP,3,IL,0.25,0.84,1.11,0.12,1.01,0.15,0.04,0.21,0.04,0.24,1.09,0.04,0.10,0.02,0.13,0.02,,6,3,2,2,0.1
93803,H,3,ESP,4,IL,39.90,64.01,137.11,16.47,69.58,15.79,3.43,16.24,2.38,13.71,82.48,2.77,7.74,1.11,6.85,1.02,,481,179,113,149,40.7
93805,H,3,ESP,5,IL,42.57,66.62,141.55,16.98,72.00,16.58,3.51,16.82,2.47,14.09,83.99,2.83,7.84,1.10,6.85,1.04,,497,184,117,153,40.5
93811-1,HA,3,FA,,PRB,27.26,65.11,133.82,15.16,56.89,11.31,3.59,11.76,1.71,9.54,54.17,1.94,5.59,0.76,4.79,0.73,,404,131,103,142,34.9
93811-2,HA,3,FA,,PRB,25.91,63.38,129.55,14.71,55.26,10.91,3.49,11.29,1.64,9.11,51.52,1.84,5.26,0.74,4.65,0.71,,390,126,100,137,34.7
93811-3,HA,3,FA,,PRB,25.69,65.62,135.03,15.31,57.28,11.28,3.61,11.79,1.69,9.64,53.12,1.91,5.48,0.75,4.90,0.73,,404,131,104,143,34.6
93811 Avg.,HA,3,FA,,PRB,26.29,64.70,132.80,15.06,56.48,11.17,3.56,11.61,1.68,9.43,52.94,1.90,5.45,0.75,4.78,0.72,,399,130,103,141,34.7
93811 Std. Dev.,HA,3,FA,,PRB,0.85,1.18,2.88,0.31,1.07,0.22,0.07,0.28,0.04,0.28,1.34,0.05,0.17,0.01,0.13,0.01,,8,3,2,3,0.2
93843,G,3,mech,3,PRB,17.61,66.94,136.05,14.02,49.89,9.25,2.06,8.09,1.13,6.19,33.03,1.22,3.52,0.52,3.33,0.51,,353,96,98,142,28.5
93847,G,3,BH,2,PRB,22.03,69.31,135.69,14.67,52.95,10.15,2.82,9.68,1.38,7.88,44.47,1.58,4.45,0.63,4.07,0.62,,382,114,104,143,31.6
93849,G,3,BH,3,PRB,22.68,62.49,116.35,12.78,49.49,9.27,2.44,8.90,1.23,6.84,43.64,1.38,3.84,0.56,3.52,0.54,,346,107,93,122,33.2
93851,G,3,BH,4,PRB,23.83,65.54,124.52,13.64,52.42,10.06,2.54,9.34,1.31,7.30,47.26,1.49,4.14,0.59,3.76,0.58,,368,115,99,131,33.4
93853,G,3,BH,5,PRB,24.79,65.33,123.41,13.65,52.63,10.05,2.59,9.62,1.31,7.46,48.36,1.49,4.25,0.60,3.79,0.58,,370,117,99,130,33.8
93878-1,R,1,ESP,1,IL,25.39,43.36,93.41,10.33,38.80,7.87,1.80,7.77,1.26,7.92,45.62,1.63,4.88,0.73,4.67,0.69,,296,100,69,101,37.0
93878-2,R,1,ESP,1,IL,26.03,44.01,95.21,10.53,39.59,8.11,1.86,7.98,1.29,8.07,47.16,1.68,5.05,0.74,4.69,0.72,,303,103,71,103,37.2
93878-3,R,1,ESP,1,IL,26.10,44.77,96.22,10.56,39.94,8.02,1.85,8.12,1.29,8.10,47.01,1.71,5.13,0.74,4.73,0.71,,305,103,71,104,37.0
93878 Avg.,R,1,ESP,1,IL,25.84,44.05,94.95,10.47,39.45,8.00,1.84,7.96,1.28,8.03,46.60,1.67,5.02,0.74,4.70,0.71,,301,102,70,103,37.1
93879 Std. Dev.,R,1,ESP,1,IL,0.32,0.57,1.16,0.10,0.48,0.10,0.03,0.14,0.02,0.08,0.70,0.03,0.10,0.01,0.02,0.01,,5,2,1,2,0.1
93879,R,1,ESP,2,IL,25.16,43.12,93.30,10.34,38.58,7.78,1.79,7.87,1.26,7.82,45.73,1.66,4.88,0.72,4.61,0.68,,295,100,69,101,37.0
93880,R,1,ESP,3,IL,25.88,42.61,92.27,10.19,38.07,7.69,1.77,7.53,1.23,7.58,44.27,1.60,4.73,0.70,4.50,0.68,,291,98,68,100,36.8
93881,R,1,ESP,4,IL,24.24,42.58,92.14,10.09,37.98,7.65,1.78,7.70,1.20,7.50,43.72,1.58,4.68,0.70,4.38,0.67,,289,97,68,99,36.6
93882,R,1,ESP,5,IL,26.47,44.54,96.36,10.56,39.75,8.05,1.88,7.97,1.25,7.82,45.40,1.64,4.83,0.71,4.56,0.70,,302,101,71,104,36.6
93891,H,3,ESP,1,IL,41.10,77.03,163.55,19.09,80.51,17.87,3.75,17.12,2.39,13.25,78.67,2.65,7.19,1.00,6.22,0.92,,532,186,131,174,37.8
93895,H,3,ESP,2,IL,48.48,78.60,166.55,19.45,82.03,18.71,3.87,17.95,2.51,13.95,82.67,2.76,7.55,1.06,6.48,0.97,,554,193,135,178,38.1
93899,H,3,ESP,3,IL,26.90,58.12,122.96,14.28,59.64,13.21,2.72,12.28,1.66,9.08,55.10,1.79,4.89,0.68,4.25,0.63,,388,133,98,130,36.8
93905,H,3,ESP,4,IL,29.70,65.26,139.63,16.10,67.46,15.17,2.99,13.53,1.76,9.41,57.42,1.85,5.04,0.71,4.34,0.64,,431,144,110,147,35.9
93912,I,1,econ,,App,25.74,64.55,130.93,14.52,53.71,10.60,2.35,10.44,1.55,8.81,50.19,1.79,5.15,0.73,4.51,0.67,,386,122,100,139,33.8
93913,I,1,mech,,App,34.25,75.24,154.27,17.29,65.24,13.62,3.06,13.87,2.14,12.52,74.54,2.52,7.25,1.02,6.33,0.95,,484,165,120,165,36.6
93914-1,I,1,ESP,,App,42.71,80.96,167.17,18.90,72.70,15.89,3.64,16.48,2.66,15.51,92.93,3.18,9.12,1.26,7.85,1.15,,552,197,132,181,38.6
93914-2,I,1,ESP,,App,43.48,90.74,186.74,21.21,80.66,17.45,4.11,18.60,2.97,17.26,103.61,3.55,9.99,1.43,8.73,1.28,,612,219,148,202,38.5
93914-3,I,1,ESP,,App,44.48,83.85,172.32,19.57,75.30,16.30,3.80,17.18,2.73,15.95,96.06,3.22,9.16,1.28,7.95,1.20,,570,203,137,186,38.6
93914 Avg. ,I,1,ESP,,App,43.56,85.18,175.41,19.90,76.22,16.54,3.85,17.42,2.79,16.24,97.53,3.31,9.42,1.32,8.17,1.21,,578,206,139,189,38.6
93914 Std. Dev.,I,1,ESP,,App,0.89,5.02,10.15,1.19,4.06,0.81,0.24,1.08,0.16,0.91,5.49,0.20,0.49,0.09,0.48,0.07,,31,11,8,11,0.1
93915,I,1,silo,,App,34.62,90.39,185.30,20.73,77.68,16.04,2.95,15.80,2.45,14.29,83.10,2.85,8.20,1.15,7.08,1.03,,564,189,143,197,35.7
93916,I,"1,2",landfill,,App,18.96,61.68,127.49,14.23,52.45,10.67,1.74,10.59,1.65,9.47,54.00,1.91,5.47,0.78,4.87,0.71,,377,125,97,136,34.9
93918,SM,,FA,,GC,18.03,53.11,108.11,12.13,44.82,9.65,1.66,9.81,1.63,9.61,61.13,1.94,5.74,0.84,5.33,0.79,,344,125,85,117,38.2
93919,SM,,landfill,,GC,13.19,37.80,80.89,9.03,33.18,7.08,1.22,7.11,1.16,6.92,42.06,1.42,4.05,0.59,3.80,0.57,,250,89,61,87,37.4
93922,TS,,FA,,SJ,18.11,46.02,86.15,8.91,33.29,6.27,1.50,6.38,0.93,5.42,39.92,1.15,3.23,0.47,2.97,0.45,,261,84,68,91,34.7
93923,TS,,pond,,SJ,11.20,35.78,71.26,7.38,25.51,4.94,1.26,4.98,0.73,4.38,28.19,0.92,2.58,0.36,2.37,0.35,,202,63,53,75,32.8
93925-1,ME,,FA,,PRB,21.58,49.55,101.26,10.79,40.16,8.04,2.72,7.89,1.15,6.52,36.98,1.34,3.75,0.53,3.43,0.53,,296,91,76,107,33.2
93925-2,ME,,FA,,PRB,22.54,51.70,110.74,11.39,41.30,8.35,2.78,8.20,1.21,6.92,38.72,1.38,3.94,0.56,3.54,0.55,,314,95,80,117,32.6
93925-3,ME,,FA,,PRB,22.08,50.62,106.63,11.06,40.65,8.29,2.75,7.95,1.17,6.79,37.98,1.34,3.81,0.55,3.47,0.53,,306,93,78,113,32.8
93925 Avg.,ME,,FA,,PRB,22.07,50.62,106.21,11.08,40.70,8.23,2.75,8.01,1.18,6.75,37.89,1.35,3.83,0.54,3.48,0.54,,305,93,78,112,32.9
93925 Std. Dev.,ME,,FA,,PRB,0.48,1.08,4.75,0.30,0.58,0.17,0.03,0.17,0.03,0.21,0.88,0.02,0.10,0.02,0.06,0.01,,9,2,2,5,0.3
93926,ME,,BA,,PRB,18.89,44.68,90.48,9.61,35.25,7.27,2.27,7.08,1.06,6.16,34.52,1.27,3.50,0.50,3.20,0.50,,266,83,69,96,33.5
93927,LA,,FA,,PRB,22.13,46.72,91.09,9.40,33.65,6.52,2.52,6.75,0.97,5.52,31.52,1.11,3.15,0.44,2.81,0.43,,265,77,69,96,31.9
93932-1,W,,FA,,App,41.96,109.84,215.38,23.90,89.06,18.75,3.88,18.93,2.96,17.53,107.81,3.53,9.85,1.40,8.81,1.32,,675,231,171,230,36.5
93932-2,W,,FA,,App,42.76,107.58,210.22,23.53,87.60,18.73,3.91,18.87,2.98,17.54,107.31,3.55,9.94,1.39,8.81,1.29,,666,229,169,225,36.8
93932-3,W,,FA,,App,42.45,107.32,211.01,23.56,87.74,18.55,3.85,18.62,2.93,17.33,107.81,3.53,9.83,1.40,8.84,1.33,,666,229,168,226,36.8
93932 Avg.,W,,FA,,App,42.39,108.25,212.20,23.66,88.13,18.68,3.88,18.81,2.95,17.46,107.64,3.54,9.88,1.40,8.82,1.31,,669,230,169,227,36.7
93932 Std. Dev.,W,,FA,,App,0.40,1.39,2.78,0.21,0.81,0.11,0.03,0.17,0.02,0.12,0.29,0.01,0.06,0.01,0.02,0.02,,5,1,2,3,0.2
93938-1,I,1,silo,,App,33.96,106.85,239.88,26.33,102.44,20.60,3.32,23.10,3.19,17.86,99.22,3.66,10.40,1.54,9.40,1.43,,703,236,177,256,35.3
93938-2,I,1,silo,,App,35.05,106.65,239.98,26.33,102.33,20.81,3.37,23.12,3.13,17.83,98.75,3.61,10.26,1.50,9.34,1.42,,703,236,177,256,35.3
93938-3,I,1,silo,,App,34.06,106.82,238.99,26.23,102.35,21.15,3.34,23.39,3.17,17.89,100.02,3.64,10.38,1.53,9.40,1.43,,704,237,178,255,35.4
93938 Avg.,I,1,silo,,App,34.36,106.77,239.62,26.30,102.38,20.85,3.34,23.20,3.17,17.86,99.33,3.64,10.35,1.52,9.38,1.42,,703,236,177,256,35.3
93938 Std. Dev.,I,1,silo,,App,0.60,0.11,0.54,0.06,0.06,0.28,0.02,0.16,0.03,0.03,0.64,0.03,0.08,0.02,0.04,0.01,,0,1,0,1,0.1
93938,I,1,silo,,App,34.12,105.42,234.41,25.92,100.96,20.36,3.25,22.87,3.10,17.58,97.16,3.56,10.10,1.51,9.18,1.41,,691,232,175,250,35.3
93952,I,2,FGD,,App,25.08,75.03,158.45,18.46,72.33,14.82,2.48,16.44,2.31,12.88,71.87,2.63,7.36,1.06,6.59,1.00,,489,169,125,170,36.5
93953,I,1,mech,1,App,40.05,116.96,260.69,28.18,109.87,22.31,3.60,24.85,3.42,19.35,106.27,3.94,11.00,1.59,9.87,1.47,,763,254,192,278,35.0
93954,I,1,mech,1,App,38.98,116.77,261.07,28.24,110.00,22.63,3.52,24.82,3.35,19.02,102.25,3.80,10.70,1.55,9.47,1.46,,758,249,192,277,34.6
93955,I,1,ESP,1,App,52.90,118.98,264.65,28.96,113.43,23.72,4.18,27.25,3.96,23.18,129.13,4.77,13.40,1.97,12.33,1.81,,825,287,199,286,37.2
93956,I,1,ESP,1,App,51.89,113.61,252.29,27.66,108.80,22.46,3.97,26.36,3.74,21.78,127.25,4.50,12.86,1.86,11.36,1.73,,792,278,190,272,37.6
93957,I,1,ESP,2,App,54.58,113.15,252.29,27.80,109.10,23.03,4.29,26.49,3.85,22.48,129.92,4.62,13.23,1.93,11.71,1.76,,800,283,190,272,37.9
93958,I,1,ESP,2,App,55.21,115.70,256.74,28.34,111.29,23.24,4.34,27.13,3.89,22.80,133.11,4.72,13.41,1.97,12.16,1.80,,816,289,194,277,38.0
93959,I,1,ESP,3,App,57.38,116.71,258.84,28.84,112.82,23.73,4.60,27.93,4.09,24.18,137.86,5.00,14.24,2.08,12.67,1.90,,833,298,197,280,38.4
93960,I,1,ESP,3,App,54.46,110.17,246.41,27.13,106.41,22.59,4.49,26.46,3.87,22.81,132.18,4.72,13.47,1.96,12.04,1.82,,791,283,186,267,38.5
93962,,,stoker,,App,47.17,173.91,398.29,43.71,171.02,35.31,4.52,40.45,5.89,34.66,213.88,7.36,21.58,3.09,18.62,2.90,,1222,452,293,430,38.4
93963,,,FA,,App,40.74,95.10,201.08,23.88,95.61,19.99,4.02,22.95,3.19,18.29,103.81,3.69,10.56,1.54,9.39,1.47,,655,235,162,217,38.3
93964,,,FA,,IL,34.65,75.01,158.97,19.13,77.30,16.42,3.52,19.02,2.62,14.66,81.80,2.96,8.32,1.22,7.43,1.14,,524,188,130,172,38.4
93965,,,pond,,App,32.97,81.07,171.61,20.14,77.74,15.93,3.32,17.47,2.38,13.49,75.51,2.70,7.63,1.12,6.84,1.04,,531,180,135,183,36.2
93966-1,,,FA,,PRB,26.93,66.62,126.96,15.20,59.47,11.90,4.64,13.23,1.70,9.31,50.30,1.81,5.14,0.72,4.31,0.68,,399,131,107,134,35.1
93966-2,,,FA,,PRB,28.18,68.79,132.08,15.80,61.64,12.10,4.79,13.49,1.77,9.47,51.83,1.88,5.16,0.73,4.57,0.70,,413,135,110,140,35.0
93966-3,,,FA,,PRB,27.21,67.71,129.97,15.52,60.83,12.11,4.69,13.36,1.71,9.32,50.02,1.84,5.00,0.73,4.32,0.68,,405,132,109,138,34.8
93966 Avg.,,,FA,,PRB,27.44,67.71,129.67,15.50,60.65,12.04,4.71,13.36,1.72,9.36,50.72,1.84,5.10,0.73,4.40,0.69,,406,132,109,137,35.0
93966 Std. Dev.,,,FA,,PRB,0.66,1.08,2.57,0.30,1.10,0.12,0.08,0.13,0.04,0.09,0.97,0.03,0.08,0.00,0.15,0.01,,7,2,2,3,0.1
93967-1,,,FA,,RSA,27.45,85.36,174.01,18.40,67.45,12.91,2.69,14.07,1.81,9.67,49.64,1.91,5.16,0.77,4.65,0.69,,477,136,131,182,30.4
93967-2,,,FA,,RSA,27.03,87.02,174.98,18.46,68.30,12.96,2.72,14.51,1.82,9.61,49.71,1.91,5.22,0.76,4.65,0.71,,480,137,133,183,30.3
93967 Avg.,,,FA,,RSA,27.24,86.19,174.49,18.43,67.87,12.94,2.70,14.29,1.81,9.64,49.68,1.91,5.19,0.76,4.65,0.70,,479,137,132,183,30.3
93967 Std. Dev.,,,FA,,RSA,0.30,1.18,0.69,0.04,0.60,0.04,0.02,0.31,0.01,0.04,0.05,0.00,0.04,0.01,0.00,0.01,,3,1,2,1,0.0
93968,,,FA,uncl.,RSA,29.28,101.24,220.31,21.33,79.10,15.23,3.22,17.31,2.27,12.42,64.94,2.49,6.67,0.97,5.96,0.88,,584,169,155,231,30.4
93969,,,FA,class.,RSA,32.78,106.17,235.74,22.67,83.44,15.95,3.38,18.38,2.44,13.37,69.03,2.61,7.22,1.06,6.32,0.98,,622,179,163,247,30.4
93971,,,FA,,PRB,22.84,39.80,73.92,8.20,29.93,5.87,2.55,6.18,0.91,5.18,29.49,1.07,3.12,0.42,2.74,0.45,,233,71,60,79,33.9
93972,,,BA,,PRB,18.00,39.49,75.38,8.50,31.23,6.03,2.04,6.26,0.93,5.40,29.82,1.07,3.17,0.44,2.89,0.45,,231,73,60,80,34.1
93973,,,FA,,PRB,24.21,61.59,121.13,14.72,58.72,11.57,4.49,12.93,1.69,9.16,50.45,1.85,5.18,0.74,4.61,0.71,,384,130,101,129,36.1
